run,model,class_id,class_label,private_proportion,source_predicted_proportion,source_true_proportion,private_minus_source_predicted,private_minus_source_true,private_mean_confidence,private_mean_entropy,is_private_dominant,source_test_accuracy,source_test_macro_accuracy,source_test_f1_macro
i3d_mlp/ce,i3d_mlp,0,Highly Disengage,0.0,0.013923013923013924,0.028665028665028666,-0.013923013923013924,-0.028665028665028666,0.0,0.0,False,0.7682227682227682,0.5367667726092452,0.5889255245634077
i3d_mlp/ce,i3d_mlp,1,Disengage,0.030373831775700934,0.14086814086814087,0.180999180999181,-0.11049430909243993,-0.15062534922348006,0.4364442343895252,0.8315970118229206,False,0.7682227682227682,0.5367667726092452,0.5889255245634077
i3d_mlp/ce,i3d_mlp,2,Engage,0.6705607476635514,0.7821457821457821,0.6936936936936937,-0.11158503448223067,-0.023132946030142265,0.6132124052853535,0.6311676155658964,True,0.7682227682227682,0.5367667726092452,0.5889255245634077
i3d_mlp/ce,i3d_mlp,3,Highly Engage,0.29906542056074764,0.06306306306306306,0.09664209664209664,0.23600235749768458,0.202423323918651,0.5506794787943363,0.669279576279223,False,0.7682227682227682,0.5367667726092452,0.5889255245634077
lstm/weighted_ce,lstm,0,Highly Disengage,0.2266355140186916,0.04504504504504504,0.028665028665028666,0.18159046897364656,0.1979704853536629,0.6281306952545324,0.6549133697582274,False,0.5700245700245701,0.5205989265877782,0.45018849258646826
lstm/weighted_ce,lstm,1,Disengage,0.21962616822429906,0.2571662571662572,0.180999180999181,-0.03754008894195812,0.038626987225118065,0.4622667175024114,0.7780812144913571,False,0.5700245700245701,0.5205989265877782,0.45018849258646826
lstm/weighted_ce,lstm,2,Engage,0.39953271028037385,0.502047502047502,0.6936936936936937,-0.10251479176712819,-0.29416098341331987,0.4777652297103614,0.7827589640840452,True,0.5700245700245701,0.5205989265877782,0.45018849258646826
lstm/weighted_ce,lstm,3,Highly Engage,0.1542056074766355,0.19574119574119575,0.09664209664209664,-0.04153558826456025,0.05756351083453887,0.6562097560275685,0.5857710666728743,False,0.5700245700245701,0.5205989265877782,0.45018849258646826
openface_mlp/weighted_ce,openface_mlp,0,Highly Disengage,0.24065420560747663,0.029484029484029485,0.028665028665028666,0.21117017612344716,0.21198917694244795,0.5859479583004146,0.6959909339914623,False,0.6101556101556102,0.5376420212616171,0.49282718573859696
openface_mlp/weighted_ce,openface_mlp,1,Disengage,0.16355140186915887,0.25307125307125306,0.180999180999181,-0.08951985120209419,-0.01744777913002213,0.33801906279155186,0.9349143351827349,False,0.6101556101556102,0.5376420212616171,0.49282718573859696
openface_mlp/weighted_ce,openface_mlp,2,Engage,0.34813084112149534,0.5536445536445537,0.6936936936936937,-0.20551371252305833,-0.3455628525721984,0.30937442063485215,0.9580888292133408,True,0.6101556101556102,0.5376420212616171,0.49282718573859696
openface_mlp/weighted_ce,openface_mlp,3,Highly Engage,0.24766355140186916,0.1638001638001638,0.09664209664209664,0.08386338760170536,0.15102145475977252,0.564992644876804,0.6416443437337875,False,0.6101556101556102,0.5376420212616171,0.49282718573859696
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion,0,Highly Disengage,0.49065420560747663,0.020475020475020474,0.028665028665028666,0.47017918513245616,0.46198917694244795,0.670112126781827,0.5775665528717495,True,0.7698607698607699,0.5637376174084232,0.5972155073759607
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion,1,Disengage,0.4532710280373832,0.11793611793611794,0.180999180999181,0.33533491010126526,0.2722718470382022,0.7224001508090914,0.482258145265358,False,0.7698607698607699,0.5637376174084232,0.5972155073759607
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion,2,Engage,0.028037383177570093,0.7764127764127764,0.6936936936936937,-0.7483753932352063,-0.6656563105161236,0.7005139142274857,0.4704298625389735,False,0.7698607698607699,0.5637376174084232,0.5972155073759607
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion,3,Highly Engage,0.028037383177570093,0.08517608517608517,0.09664209664209664,-0.057138701998515076,-0.06860471346452654,0.5657808730999628,0.7196265235543251,False,0.7698607698607699,0.5637376174084232,0.5972155073759607
temporal_cnn/weighted_ce,temporal_cnn,0,Highly Disengage,0.02570093457943925,0.030303030303030304,0.028665028665028666,-0.004602095723591052,-0.0029640940855894145,0.8009510636329651,0.35003539750521834,False,0.6945126945126945,0.620047015433583,0.5723056530799828
temporal_cnn/weighted_ce,temporal_cnn,1,Disengage,0.11214953271028037,0.21212121212121213,0.180999180999181,-0.09997167941093175,-0.06884964828890063,0.7374070404718319,0.39594772215544555,False,0.6945126945126945,0.620047015433583,0.5723056530799828
temporal_cnn/weighted_ce,temporal_cnn,2,Engage,0.7873831775700935,0.5896805896805897,0.6936936936936937,0.1977025878895038,0.09368948387639975,0.9457073443367503,0.09576957768591618,True,0.6945126945126945,0.620047015433583,0.5723056530799828
temporal_cnn/weighted_ce,temporal_cnn,3,Highly Engage,0.07476635514018691,0.1678951678951679,0.09664209664209664,-0.09312881275498099,-0.021875741501909726,0.9135657902806997,0.15277594122847127,False,0.6945126945126945,0.620047015433583,0.5723056530799828
transformer/ce,transformer,0,Highly Disengage,0.05841121495327103,0.01638001638001638,0.028665028665028666,0.042031198573254644,0.02974618628824236,0.607742748260498,0.683740712404251,False,0.7485667485667485,0.49845308548063916,0.5440902512504544
transformer/ce,transformer,1,Disengage,0.1542056074766355,0.13104013104013104,0.180999180999181,0.023165476436504462,-0.026793573522545494,0.5372432754798369,0.7108790052659584,False,0.7485667485667485,0.49845308548063916,0.5440902512504544
transformer/ce,transformer,2,Engage,0.6939252336448598,0.7960687960687961,0.6936936936936937,-0.1021435624239363,0.00023153995116609316,0.6723661312350521,0.5883813163748494,True,0.7485667485667485,0.49845308548063916,0.5440902512504544
transformer/ce,transformer,3,Highly Engage,0.09345794392523364,0.056511056511056514,0.09664209664209664,0.03694688741417713,-0.003184152716862995,0.5729613170027733,0.7040814161300659,False,0.7485667485667485,0.49845308548063916,0.5440902512504544
