train_group,test_set,model,loss,target_frames,n_labeled,accuracy,macro_accuracy,mae,macro_mae,cohen_kappa,quadratic_weighted_kappa
cmose,cmose_test,openface_mlp,ce,300,1221,0.7248157248157249,0.3851373474708017,0.2972972972972973,0.775304791284126,0.2566290864417652,0.3432342382898914
cmose,cmose_test,openface_mlp,weighted_ce,300,1221,0.4995904995904996,0.5113395396409989,0.5708435708435708,0.6390641738393936,0.2076893421652123,0.349561045715268
cmose,cmose_test,openface_mlp,ordinal,300,1221,0.5470925470925471,0.33883000666513763,0.48402948402948404,0.798950338159982,0.09211274688423987,0.24590734485391252
cmose,cmose_test,tcn,ce,300,1221,0.7575757575757576,0.49896819395595793,0.26044226044226043,0.596991624345925,0.416170740690484,0.5126592966058391
cmose,cmose_test,tcn,weighted_ce,300,1221,0.6281736281736282,0.6124383026562852,0.4332514332514332,0.5100901930481374,0.3465261797879965,0.4619193482657218
cmose,cmose_test,tcn,ordinal,300,1221,0.6167076167076168,0.6213568313314529,0.43734643734643736,0.50117477691347,0.36692225623435804,0.4756751090291135
cmose,cmose_test,lstm,ce,300,1221,0.7010647010647011,0.3787831922450793,0.3226863226863227,0.7559894175433919,0.23508714718477264,0.3272857895260587
cmose,cmose_test,lstm,weighted_ce,300,1221,0.5962325962325963,0.5495204356053627,0.45864045864045866,0.5741345552842879,0.2968405584129318,0.41560545380911673
cmose,cmose_test,lstm,ordinal,300,1221,0.43734643734643736,0.5247309384171525,0.6412776412776413,0.6080734365788295,0.17379249345496883,0.34478859877546986
cmose,cmose_test,transformer,ce,300,1221,0.7518427518427518,0.49308090622329726,0.27436527436527436,0.6508585427986316,0.4065808742739915,0.456771982738159
cmose,cmose_test,transformer,weighted_ce,300,1221,0.5823095823095823,0.5831214670401654,0.47665847665847666,0.5746321045038529,0.30857938495976134,0.41714573116419074
cmose,cmose_test,transformer,ordinal,300,1221,0.5266175266175266,0.587933232814498,0.5405405405405406,0.5450862606078776,0.25990842947958337,0.41081608350857646
cmose,cmose_test,i3d_mlp,ce,300,1221,0.7723177723177723,0.5392378309626565,0.24733824733824733,0.5767166170184388,0.45374754181726884,0.5285155752919132
cmose,cmose_test,i3d_mlp,weighted_ce,300,1221,0.687960687960688,0.6176136425887173,0.35053235053235055,0.4872945055488335,0.4246556536859927,0.5007063894811765
cmose,cmose_test,i3d_mlp,ordinal,300,1221,0.6076986076986077,0.6172740157513111,0.44717444717444715,0.4883539079428683,0.3541437525674833,0.46013447995096846
cmose,cmose_test,openface_tcn_i3d_fusion,ce,300,1221,0.7452907452907452,0.4318219960950859,0.29811629811629814,0.7843481747111766,0.39836397513166155,0.3317274232237575
cmose,cmose_test,openface_tcn_i3d_fusion,weighted_ce,300,1221,0.6486486486486487,0.6139406591776754,0.4021294021294021,0.4701224543606488,0.390738405851044,0.48189544964176534
cmose,cmose_test,openface_tcn_i3d_fusion,ordinal,300,1221,0.5585585585585585,0.5706757395599958,0.48157248157248156,0.5204426295176772,0.28781859755932604,0.4525546022347734
cmose,daisee_test,openface_mlp,ce,300,1784,0.4938340807174888,0.25510204081632654,0.5100896860986547,0.9958193351050495,0.002847324010616825,0.004820091765274204
cmose,daisee_test,openface_mlp,weighted_ce,300,1784,0.062219730941704035,0.29027311170168313,1.4859865470852018,1.0131130666844952,0.0016263621870458156,-0.005303938772718286
cmose,daisee_test,openface_mlp,ordinal,300,1784,0.1647982062780269,0.2745654977797835,1.1771300448430493,0.9749738142595286,0.008820888532248161,0.007840945791471765
cmose,daisee_test,tcn,ce,300,1784,0.41591928251121074,0.33196380517809093,0.7219730941704036,0.8098650598650599,0.022628164751630764,0.029592327161063747
cmose,daisee_test,tcn,weighted_ce,300,1784,0.45964125560538116,0.23556894092608377,0.6507847533632287,1.0935196560196558,0.003555221818957288,-0.02173814808779584
cmose,daisee_test,tcn,ordinal,300,1784,0.3991031390134529,0.34271144985430696,0.8531390134529148,0.9265552658409801,-0.001348781489021178,0.02590991611266824
cmose,daisee_test,lstm,ce,300,1784,0.4899103139013453,0.25874018731161585,0.5190582959641256,0.997614381542953,0.006220609426286106,0.012467006577883133
cmose,daisee_test,lstm,weighted_ce,300,1784,0.3839686098654709,0.26549833692690833,0.7914798206278026,1.037852671781243,0.027838711596818944,-0.013541668929767159
cmose,daisee_test,lstm,ordinal,300,1784,0.10145739910313901,0.2592837503551789,1.4641255605381165,1.241426607498036,0.002593481836559053,0.0033419802028843426
cmose,daisee_test,transformer,ce,300,1784,0.4641255605381166,0.2885487528344671,0.5891255605381166,0.8676829658972516,0.030153594195151623,0.009373159866338021
cmose,daisee_test,transformer,weighted_ce,300,1784,0.422085201793722,0.3620091566520138,0.7045964125560538,0.771623780552352,0.03724044073385857,0.014722987797424425
