run,model,class_id,class_label,private_proportion,source_predicted_proportion,source_true_proportion,private_minus_source_predicted,private_minus_source_true,private_mean_confidence,private_mean_entropy,is_private_dominant,source_test_accuracy,source_test_macro_accuracy,source_test_f1_macro,source_test_mae,source_test_mse
i3d_mlp/ce,i3d_mlp,0,Highly Disengage,0.0,0.013923013923013924,0.028665028665028666,-0.013923013923013924,-0.028665028665028666,0.0,0.0,False,0.7682227682227682,0.5367667726092452,0.5889255245634077,0.2538902538902539,0.3013923013923014
i3d_mlp/ce,i3d_mlp,1,Disengage,0.03260869565217391,0.14086814086814087,0.180999180999181,-0.10825944521596695,-0.14839048534700708,0.4399048412839572,0.8315831671158472,False,0.7682227682227682,0.5367667726092452,0.5889255245634077,0.2538902538902539,0.3013923013923014
i3d_mlp/ce,i3d_mlp,2,Engage,0.6603260869565217,0.7821457821457821,0.6936936936936937,-0.12181969518926039,-0.033367606737171984,0.6079851677143034,0.6374054476618767,True,0.7682227682227682,0.5367667726092452,0.5889255245634077,0.2538902538902539,0.3013923013923014
i3d_mlp/ce,i3d_mlp,3,Highly Engage,0.3070652173913043,0.06306306306306306,0.09664209664209664,0.24400215432824127,0.2104231207492077,0.5525324183755216,0.6696072756189161,False,0.7682227682227682,0.5367667726092452,0.5889255245634077,0.2538902538902539,0.3013923013923014
i3d_mlp/ordinal,i3d_mlp,0,Highly Disengage,0.024456521739130436,0.0475020475020475,0.028665028665028666,-0.023045525762917064,-0.00420850692589823,0.7162457638316684,0.5798369447390238,False,0.6756756756756757,0.6227013356443248,0.5575794839631268,0.3669123669123669,0.4619164619164619
i3d_mlp/ordinal,i3d_mlp,1,Disengage,0.005434782608695652,0.2571662571662572,0.180999180999181,-0.2517314745575615,-0.17556439839048535,0.32988110184669495,0.9654999077320099,False,0.6756756756756757,0.6227013356443248,0.5575794839631268,0.3669123669123669,0.4619164619164619
i3d_mlp/ordinal,i3d_mlp,2,Engage,0.16576086956521738,0.5651105651105651,0.6936936936936937,-0.3993496955453477,-0.5279328241284763,0.7215559985794004,0.4377893190525594,False,0.6756756756756757,0.6227013356443248,0.5575794839631268,0.3669123669123669,0.4619164619164619
i3d_mlp/ordinal,i3d_mlp,3,Highly Engage,0.8043478260869565,0.13022113022113022,0.09664209664209664,0.6741266958658263,0.7077057294448599,0.8126821160517834,0.35094937429341766,True,0.6756756756756757,0.6227013356443248,0.5575794839631268,0.3669123669123669,0.4619164619164619
i3d_mlp/weighted_ce,i3d_mlp,0,Highly Disengage,0.04891304347826087,0.04504504504504504,0.028665028665028666,0.0038679984332158288,0.020248014813232205,0.5584041724602381,0.8017285880115297,False,0.6732186732186732,0.6254549877748463,0.5566719982784964,0.37182637182637185,0.46846846846846846
i3d_mlp/weighted_ce,i3d_mlp,1,Disengage,0.1331521739130435,0.2727272727272727,0.180999180999181,-0.13957509881422922,-0.04784700708613751,0.45327769432749065,0.8821652312668002,False,0.6732186732186732,0.6254549877748463,0.5566719982784964,0.37182637182637185,0.46846846846846846
i3d_mlp/weighted_ce,i3d_mlp,2,Engage,0.25,0.5446355446355446,0.6936936936936937,-0.29463554463554464,-0.4436936936936937,0.5894518850938134,0.6609499098166175,False,0.6732186732186732,0.6254549877748463,0.5566719982784964,0.37182637182637185,0.46846846846846846
i3d_mlp/weighted_ce,i3d_mlp,3,Highly Engage,0.5679347826086957,0.1375921375921376,0.09664209664209664,0.43034264501655806,0.471292685966599,0.6498755373452839,0.6171085618471985,True,0.6732186732186732,0.6254549877748463,0.5566719982784964,0.37182637182637185,0.46846846846846846
lstm/ce,lstm,0,Highly Disengage,0.15489130434782608,0.018837018837018837,0.028665028665028666,0.13605428551080725,0.12622627568279743,0.4415085509158017,0.9010249031217474,False,0.7051597051597052,0.4139256148546459,0.4428814844777025,0.32432432432432434,0.38493038493038495
lstm/ce,lstm,1,Disengage,0.1875,0.10565110565110565,0.180999180999181,0.08184889434889435,0.0065008190008190025,0.4727760739084603,0.8204022404076396,False,0.7051597051597052,0.4139256148546459,0.4428814844777025,0.32432432432432434,0.38493038493038495
lstm/ce,lstm,2,Engage,0.4266304347826087,0.8198198198198198,0.6936936936936937,-0.39318938503721107,-0.267063258911085,0.5509128860986916,0.7403331323034444,True,0.7051597051597052,0.4139256148546459,0.4428814844777025,0.32432432432432434,0.38493038493038495
