run,accuracy,macro_accuracy,f1_macro,f1_weighted,mae,mse,macro_mae,cohen_kappa,quadratic_weighted_kappa
daisee/i3d_mlp/ce,0.592391304347826,0.2654998258446534,0.2421592978970028,0.5583392729864576,0.48641304347826086,0.6711956521739131,1.1090446909412428,0.03146000386012304,0.02760066755102908
daisee/i3d_mlp/ordinal,0.1956521739130435,0.31163592154971465,0.18552834922819153,0.17852254642310977,1.1875,2.029891304347826,1.141350507729818,0.05372981331387405,0.017063089091351236
daisee/i3d_mlp/weighted_ce,0.1766304347826087,0.32264622350829253,0.15816255998347986,0.16095868298501864,1.1304347826086956,1.8315217391304348,1.1358160517643276,0.0231629113081262,-0.007277452891488068
daisee/lstm/ce,0.6195652173913043,0.21839080459770116,0.1915966386554622,0.543551333576909,0.41304347826086957,0.4782608695652174,1.0364168877099913,-0.10193780211318848,0.019736045526092982
daisee/lstm/ordinal,0.17391304347826086,0.2504102698068215,0.1279721153211132,0.1756954855279114,1.184782608695652,1.9565217391304348,1.3119624628245319,-0.003948596453442477,0.07148864592094195
daisee/lstm/weighted_ce,0.40217391304347827,0.25619758593896524,0.236831032700967,0.4440216990124558,0.6983695652173914,0.9103260869565217,1.0762030115478392,-0.003906007812015444,0.0755016948135705
daisee/openface_mlp/ce,0.7038043478260869,0.24808429118773948,0.2065390749601276,0.5859423757021012,0.32608695652173914,0.3858695652173913,1.0019157088122606,-0.007586033659884528,0.002291125706430752
daisee/openface_mlp/ordinal,0.6494565217391305,0.23662687886825817,0.2095020816686993,0.5655921053834495,0.38315217391304346,0.4483695652173913,1.01905493931356,-0.05448810502232382,-0.014773714820509376
daisee/openface_mlp/weighted_ce,0.20108695652173914,0.2535534388982665,0.16193970047086625,0.20175271397000874,0.9782608695652174,1.3641304347826086,1.1613967928623101,-0.01023380891910075,0.05550329256820308
daisee/openface_tcn_i3d_fusion/ce,0.6494565217391305,0.25254702194357365,0.22849933266599934,0.5754434234959598,0.39402173913043476,0.48641304347826086,1.0394110200144682,-0.001413353021832986,0.022032187184512386
daisee/openface_tcn_i3d_fusion/ordinal,0.6847826086956522,0.29334291187739464,0.2714485318651985,0.6099293360389374,0.36141304347826086,0.4592391304347826,1.0034228223883397,0.09950427170129739,0.07666726052615946
daisee/openface_tcn_i3d_fusion/weighted_ce,0.5407608695652174,0.28509230233368166,0.23681058028654942,0.5279984145403938,0.5380434782608695,0.7119565217391305,1.1052049004635212,0.049284578696343395,0.06283048211508557
daisee/tcn/ce,0.6847826086956522,0.29334291187739464,0.2714485318651985,0.6099293360389374,0.36141304347826086,0.4592391304347826,1.0034228223883397,0.09950427170129739,0.07666726052615946
daisee/tcn/ordinal,0.21467391304347827,0.24423612785681753,0.1585031733261822,0.23432021251374852,0.9891304347826086,1.4293478260869565,1.2761115799908902,-0.03114213690129919,0.04522137163601947
daisee/tcn/weighted_ce,0.5081521739130435,0.22531682876510462,0.20897068196303378,0.49818494194585305,0.5271739130434783,0.5978260869565217,1.0019558985076227,-0.07940623582031536,0.07681080094873205
daisee/transformer/ce,0.7065217391304348,0.24904214559386972,0.2070063694267516,0.5872680697867627,0.3233695652173913,0.38315217391304346,1.0009578544061304,-0.004016672982190439,-0.0011576753878212998
daisee/transformer/ordinal,0.1331521739130435,0.22582254909841115,0.10792137476459511,0.10443955723409483,1.076086956521739,1.5434782608695652,1.4182692307692306,-0.034545967287084034,-0.009270704573547395
daisee/transformer/weighted_ce,0.2798913043478261,0.25544235458028564,0.1958696958825092,0.31298969031961904,0.8260869565217391,1.048913043478261,0.9771220159151195,-0.001067586433440182,0.13011953752694505
