,CE,Ordinal,Weighted CE
openface_mlp,0.41631857220998886,0.36964846763858816,0.5376420212616171
lstm,0.4139256148546459,0.5119632701206163,0.5205989265877782
transformer,0.49845308548063916,0.5714313783741863,0.5685405933683827
tcn,0.5012426461420388,0.6259962280083733,0.620047015433583
i3d_mlp,0.5367667726092452,0.6227013356443248,0.6254549877748463
fusion,0.5637376174084232,0.593316422542381,0.6337428523619949
