base_model,CE,Ordinal,Weighted CE
i3d_mlp,0.7682227682227682,0.6756756756756757,0.6732186732186732
lstm,0.7051597051597052,0.48075348075348073,0.5700245700245701
openface_mlp,0.7346437346437347,0.5282555282555282,0.6101556101556102
openface_tcn_i3d_fusion,0.7698607698607699,0.5626535626535627,0.6592956592956593
temporal_cnn,0.764946764946765,0.6248976248976249,0.6945126945126945
transformer,0.7485667485667485,0.5331695331695332,0.5798525798525799
