base_model,CE,Ordinal,Weighted CE
i3d_mlp,0.5889255245634077,0.5575794839631268,0.5566719982784964
lstm,0.4428814844777025,0.3963855360846373,0.45018849258646826
openface_mlp,0.46076095445845777,0.33946520597073054,0.49282718573859696
openface_tcn_i3d_fusion,0.5972155073759607,0.45909661338152363,0.5541671189263279
temporal_cnn,0.5477955788617536,0.51924528021586,0.5723056530799828
transformer,0.5440902512504544,0.4441129241585646,0.47123559277011684
