base_model,CE,Ordinal,Weighted CE
i3d_mlp,0.7533620425936851,0.6928217311895697,0.6923909560929581
lstm,0.6754353946567517,0.5148675534847796,0.5962654265936966
openface_mlp,0.6995374191679516,0.5473077145873632,0.6295081175055155
openface_tcn_i3d_fusion,0.7555015643930407,0.5918871333788374,0.679035986494557
temporal_cnn,0.742262129415845,0.649758936266343,0.7084731518768674
transformer,0.7289245975325428,0.5664613992540365,0.6098655772952195
