run,accuracy,macro_accuracy,f1_macro,f1_weighted,mae,mse,macro_mae,cohen_kappa,quadratic_weighted_kappa
i3d_mlp/ce,0.4728260869565217,0.2971894006376765,0.2432352593642916,0.4961605248421517,0.6657608695652174,0.9972826086956522,1.259071149157356,0.0786107920447065,0.0127774041694687
i3d_mlp/ordinal,0.1304347826086956,0.2491074538488331,0.0628458829448264,0.0521418919083138,1.076086956521739,1.5434782608695652,1.485762800417973,0.0018647228343787,-0.0046139649338663
i3d_mlp/weighted_ce,0.2119565217391304,0.2760948342844894,0.1310003009285796,0.1993251069137562,0.970108695652174,1.3994565217391304,1.438149733408354,0.0269787288359667,0.0098430544816202
lstm/ce,0.6711956521739131,0.2490136778929882,0.22594148123689,0.5849215099642565,0.3641304347826087,0.4347826086956521,0.993556252176942,-0.0021606049693916,0.0106197069498589
lstm/ordinal,0.2309782608695652,0.2739748278541382,0.181316967173533,0.2367595773696946,0.904891304347826,1.1983695652173914,1.0974918280952763,0.0074623309539011,0.0395113752041854
lstm/weighted_ce,0.3342391304347826,0.2403042359938911,0.2055104703125159,0.3851198801579723,0.7880434782608695,1.0543478260869563,1.1790903062454785,0.0037789220127733,-0.0019648571268173
openface_mlp/ce,0.7065217391304348,0.2632140369209335,0.2360034045772649,0.6001579962335836,0.3233695652173913,0.3831521739130434,0.9867859630790664,0.028145250030566,0.0482060312568788
openface_mlp/ordinal,0.3967391304347826,0.224543177129384,0.186422902494331,0.4247522922212363,0.7065217391304348,0.9130434782608696,1.1618204592342525,-0.0384908730360502,-0.1299897645854657
openface_mlp/weighted_ce,0.2146739130434782,0.307851391903116,0.15096718350143,0.1783321279673274,0.9293478260869564,1.2282608695652173,0.9460453339763684,0.0381477796870761,0.0441778145543142
openface_tcn_i3d_fusion/ce,0.171195652173913,0.2383114969321866,0.0973103781338676,0.1225327031841245,0.9510869565217392,1.1956521739130437,1.014747943627254,-0.0036303807428865,-0.0104338275672706
openface_tcn_i3d_fusion/ordinal,0.3858695652173913,0.2592101385204833,0.1960740409016271,0.4185723696593261,0.7391304347826086,0.9891304347826086,1.1529402111298663,0.0340982997305583,-0.0939500849340126
openface_tcn_i3d_fusion/weighted_ce,0.3423913043478261,0.2808020523537765,0.215648982315649,0.3831596088842466,0.782608695652174,1.0543478260869563,1.1619427028909788,0.053441605373921,-0.0171539294466289
tcn/ce,0.5842391304347826,0.3099496289151461,0.3218671679197994,0.5766195379753732,0.4483695652173913,0.5135869565217391,0.8937216997561825,0.060174598140513,0.200661977658254
tcn/ordinal,0.6521739130434783,0.2812257187257187,0.2720752997721025,0.5983327651607803,0.421195652173913,0.5679347826086957,0.9747541730300352,0.0658231362671797,0.1584752067924197
tcn/weighted_ce,0.6331521739130435,0.3067143584384963,0.3055197387540341,0.6065097687929312,0.4565217391304347,0.6521739130434783,1.015699099750824,0.1115562073035514,0.1081670571128525
transformer/ce,0.6494565217391305,0.3165625083728531,0.3150159528378867,0.6000573733828444,0.3967391304347826,0.4891304347826087,0.882450164777751,0.0640009464095588,0.1608391608391609
transformer/ordinal,0.171195652173913,0.3465540685368272,0.1889798891506497,0.1225317061820982,0.970108695652174,1.2581521739130437,0.8556486616831445,0.0249919646967867,0.156063637984665
transformer/weighted_ce,0.358695652173913,0.3885707204672722,0.28110375638418,0.4020376662387815,0.8097826086956522,1.1630434782608696,0.8447756745170538,0.0723547884044348,0.1589918838103373
