base_model_display,CE,Weighted CE,Ordinal
openface_mlp,0.2221354844305663,0.2334662566027245,0.1759023447791341
tcn,0.3431277962925662,0.3240825798965334,0.2519756548339812
lstm,0.2512689650548911,0.2593689109430137,0.1397327011612726
transformer,0.3387114065180103,0.2441008925956362,0.2557211123612046
i3d_mlp,0.2488776096956829,0.199556389971406,0.1272287175739861
fusion,0.1218065003779289,0.1366146420733048,0.207255605282787
