base_model_display,CE,Weighted CE,Ordinal
openface_mlp,0.7092391304347826,1.625,0.970108695652174
tcn,0.4375,0.5543478260869565,0.9728260869565216
lstm,1.3532608695652173,1.690217391304348,2.614130434782609
transformer,0.6032608695652174,1.201086956521739,1.0570652173913044
i3d_mlp,0.7853260869565217,1.25,1.3858695652173914
fusion,2.6847826086956523,2.3505434782608696,1.0380434782608696
