base_model_display,CE,Weighted CE,Ordinal
openface_mlp,0.2590259357500736,0.2811838544597165,0.2544761273209549
tcn,0.3320455885111057,0.317873697184042,0.3246121694397557
lstm,0.2816493850976609,0.2838162795059347,0.2180676124641641
transformer,0.339502451571417,0.3289627039627039,0.3441661308040618
i3d_mlp,0.2870917396779466,0.3068299038126624,0.2646943573667711
fusion,0.3935056801436112,0.3243475872786217,0.221400008037939
