base_model_display,CE,Weighted CE,Ordinal
openface_mlp,0.4945652173913043,0.3423913043478261,0.3396739130434782
tcn,0.6603260869565217,0.6684782608695652,0.4483695652173913
lstm,0.3885869565217391,0.4021739130434782,0.1467391304347826
transformer,0.5869565217391305,0.3423913043478261,0.3097826086956521
i3d_mlp,0.5489130434782609,0.2934782608695652,0.2282608695652173
fusion,0.1358695652173913,0.1440217391304347,0.391304347826087
