base_model_display,CE,Weighted CE,Ordinal
openface_mlp,0.4979710899169202,0.4108352452778684,0.3642631185066112
tcn,0.6263012384661848,0.6388763929208823,0.4800860296542188
lstm,0.4500322552935208,0.4777417800217499,0.1889870346469725
transformer,0.5815147475576106,0.3820356799951238,0.3336096192761907
i3d_mlp,0.5455833737191914,0.3177301889244081,0.2256642070816984
fusion,0.0861217917118538,0.1109183095251258,0.4432952176011507
