run,accuracy,macro_accuracy,f1_macro,f1_weighted
i3d_mlp/ce,0.7682227682227682,0.5367667726092452,0.5889255245634077,0.7533620425936851
lstm/weighted_ce,0.5700245700245701,0.5205989265877782,0.45018849258646826,0.5962654265936966
openface_mlp/weighted_ce,0.6101556101556102,0.5376420212616171,0.49282718573859696,0.6295081175055155
openface_tcn_i3d_fusion/ce,0.7698607698607699,0.5637376174084232,0.5972155073759607,0.7555015643930407
temporal_cnn/weighted_ce,0.6945126945126945,0.620047015433583,0.5723056530799828,0.7084731518768674
transformer/ce,0.7485667485667485,0.49845308548063916,0.5440902512504544,0.7289245975325428
